시청률,월,일,시,분
0.00955,1,2,12,20
0.0089,1,2,12,40
0.002,1,2,13,0
0.0033,1,2,13,20
0.03645,1,2,13,40
0.0187,1,2,14,0
0.0015,1,2,14,20
0.0,1,2,14,40
0.02845,1,2,15,0
0.0054,1,2,15,20
0.0026,1,2,15,40
0.00525,1,2,16,0
0.00035,1,2,16,20
0.00055,1,2,16,40
0.0049,1,2,17,0
0.00105,1,2,17,20
0.00035,1,2,17,40
0.0009,1,2,18,0
0.00895,1,2,18,20
0.04015,1,2,18,40
0.0,1,2,19,0
0.00115,1,2,19,20
0.00635,1,2,19,40
0.00045,1,2,20,0
0.0,1,2,20,20
0.0018,1,2,20,40
0.00375,1,2,21,0
0.0,1,2,21,20
0.0,1,2,21,40
0.0,1,2,22,0
0.00145,1,2,22,20
0.01415,1,2,22,40
0.02745,1,2,23,0
0.0167,1,2,23,20
0.0066,1,2,23,40
0.0059,1,2,0,0
0.00705,1,2,0,20
0.0007,1,2,0,40
0.00195,1,2,1,0
0.0,1,2,1,20
0.0,1,2,1,40
0.0,1,2,2,0
0.0,1,3,2,20
0.00065,1,3,2,40
0.0,1,3,3,0
0.0,1,3,3,20
0.0033,1,3,3,40
0.0,1,3,4,0
0.0,1,3,4,20
0.0043,1,3,4,40
0.015,1,3,5,0
0.0015,1,3,5,20
0.00075,1,3,5,40
0.0024,1,3,6,0
0.00045,1,3,6,20
0.0,1,3,6,40
0.00465,1,3,7,0
0.0,1,3,7,20
0.0026,1,3,7,40
0.0023,1,3,8,0
0.0015,1,3,8,20
0.0,1,3,8,40
0.00165,1,3,9,0
0.00035,1,3,9,20
0.0012,1,3,9,40
0.0005,1,3,10,0
0.0,1,3,10,20
0.0065,1,3,10,40
0.0068,1,3,11,0
0.0048,1,3,11,20
0.0105,1,3,11,40
0.0,1,3,12,0
0.00075,1,3,12,20
0.0,1,3,12,40
0.00035,1,3,13,0
0.0,1,3,13,20
0.00025,1,3,13,40
0.00115,1,3,14,0
0.00375,1,3,14,20
0.0007,1,3,14,40
0.0,1,3,15,0
0.0,1,3,15,20
0.0,1,3,15,40
0.0,1,3,16,0
0.0006,1,3,16,20
0.0114,1,3,16,40
0.0027,1,3,17,0
0.0041,1,3,17,20
0.0,1,3,17,40
0.00065,1,3,18,0
0.0039,1,3,18,20
0.0021,1,3,18,40
0.0,1,3,19,0
0.0,1,3,19,20
0.0034,1,3,19,40
0.00155,1,3,20,0
0.0013,1,3,20,20
0.0007,1,3,20,40
0.0004,1,3,21,0
0.0,1,3,21,20
0.0,1,3,21,40
0.0,1,3,22,0
0.0,1,3,22,20
0.0028,1,3,22,40
0.00725,1,3,23,0
0.00145,1,3,23,20
0.0,1,3,23,40
0.0,1,3,0,0
0.0,1,3,0,20
0.00075,1,3,0,40
0.0002,1,3,1,0
0.0,1,3,1,20
0.0,1,3,1,40
0.0007,1,3,2,0
0.0,1,4,2,20
0.00205,1,4,2,40
0.0028,1,4,3,0
0.0,1,4,3,20
0.0,1,4,3,40
0.0,1,4,4,0
0.0,1,4,4,20
0.0,1,4,4,40
0.0,1,4,5,0
0.0,1,4,5,20
0.0,1,4,5,40
0.0,1,4,6,0
0.0,1,4,6,20
0.0002,1,4,6,40
0.0,1,4,7,0
0.0,1,4,7,20
0.0,1,4,7,40
0.0,1,4,8,0
0.0,1,4,8,20
0.0106,1,4,8,40
0.0182,1,4,9,0
0.0,1,4,9,20
0.0,1,4,9,40
0.0,1,4,10,0
0.00055,1,4,10,20
0.0,1,4,10,40
0.0008,1,4,11,0
0.0035,1,4,11,20
0.00825,1,4,11,40
0.01035,1,4,12,0
0.0102,1,4,12,20
0.0,1,4,12,40
0.00055,1,4,13,0
0.0009,1,4,13,20
0.01035,1,4,13,40
0.00175,1,4,14,0
0.0,1,4,14,20
0.0006,1,4,14,40
0.0,1,4,15,0
0.0117,1,4,15,20
0.00305,1,4,15,40
0.0025,1,4,16,0
0.00525,1,4,16,20
0.00085,1,4,16,40
0.0,1,4,17,0
0.00505,1,4,17,20
0.0042,1,4,17,40
0.00165,1,4,18,0
0.0,1,4,18,20
0.0,1,4,18,40
0.0,1,4,19,0
0.0005,1,4,19,20
0.0,1,4,19,40
0.0,1,4,20,0
0.0,1,4,20,20
0.0,1,4,20,40
0.0013,1,4,21,0
0.0107,1,4,21,20
0.0004,1,4,21,40
0.0025,1,4,22,0
0.0327,1,4,22,20
0.0,1,4,22,40
0.00245,1,4,23,0
0.0,1,4,23,20
0.0,1,4,23,40
0.0,1,4,0,0
0.0,1,4,0,20
0.0,1,4,0,40
0.01995,1,4,1,0
0.00355,1,4,1,20
0.0,1,4,1,40
0.0014,1,4,2,0
0.0,1,5,2,20
0.0,1,5,2,40
0.0,1,5,3,0
0.0,1,5,3,20
0.0,1,5,3,40
0.0,1,5,4,0
0.0,1,5,4,20
0.0,1,5,4,40
0.0,1,5,5,0
0.0,1,5,5,20
0.0039,1,5,5,40
0.0013,1,5,6,0
0.0,1,5,6,20
0.0,1,5,6,40
0.0,1,5,7,0
0.0,1,5,7,20
0.00345,1,5,7,40
0.00585,1,5,8,0
0.0006,1,5,8,20
0.0027,1,5,8,40
0.0012,1,5,9,0
0.0,1,5,9,20
0.0033,1,5,9,40
0.02265,1,5,10,0
0.022000000000000002,1,5,10,20
0.0225,1,5,10,40
0.0,1,5,11,0
0.0,1,5,11,20
0.0,1,5,11,40
0.0,1,5,12,0
0.0021,1,5,12,20
0.0,1,5,12,40
0.00095,1,5,13,0
0.0,1,5,13,20
0.0012,1,5,13,40
0.0013,1,5,14,0
0.0,1,5,14,20
0.0,1,5,14,40
0.0,1,5,15,0
0.00165,1,5,15,20
0.00205,1,5,15,40
0.0022,1,5,16,0
0.0,1,5,16,20
0.0,1,5,16,40
0.0,1,5,17,0
0.0004,1,5,17,20
0.00445,1,5,17,40
0.0,1,5,18,0
0.0015,1,5,18,20
0.00445,1,5,18,40
0.0018,1,5,19,0
0.0,1,5,19,20
0.0052,1,5,19,40
0.0,1,5,20,0
0.0,1,5,20,20
0.0,1,5,20,40
0.0,1,5,21,0
0.0,1,5,21,20
0.0,1,5,21,40
0.0,1,5,22,0
0.0,1,5,22,20
0.0,1,5,22,40
0.0,1,5,23,0
0.006999999999999999,1,5,23,20
0.0,1,5,23,40
0.0,1,5,0,0
0.006999999999999999,1,5,0,20
0.0015,1,5,0,40
0.0,1,5,1,0
0.01335,1,5,1,20
0.00215,1,5,1,40
0.0,1,5,2,0
0.0,1,6,2,20
0.0,1,6,2,40
0.0,1,6,3,0
0.0,1,6,3,20
0.0005,1,6,3,40
0.0,1,6,4,0
0.0,1,6,4,20
0.0,1,6,4,40
0.0,1,6,5,0
0.0,1,6,5,20
0.0,1,6,5,40
0.0,1,6,6,0
0.00025,1,6,6,20
0.0012,1,6,6,40
0.00925,1,6,7,0
0.0026,1,6,7,20
0.0,1,6,7,40
0.0022,1,6,8,0
0.0,1,6,8,20
0.0,1,6,8,40
0.0007,1,6,9,0
0.00225,1,6,9,20
0.0,1,6,9,40
0.0,1,6,10,0
0.0,1,6,10,20
0.00575,1,6,10,40
0.0258,1,6,11,0
0.0023,1,6,11,20
0.0,1,6,11,40
0.00955,1,6,12,0
0.0002,1,6,12,20
0.0,1,6,12,40
0.0,1,6,13,0
0.0,1,6,13,20
0.0067,1,6,13,40
0.0051,1,6,14,0
0.0007,1,6,14,20
0.00255,1,6,14,40
0.0065,1,6,15,0
0.01645,1,6,15,20
0.0121,1,6,15,40
0.00505,1,6,16,0
0.01,1,6,16,20
0.016,1,6,16,40
0.0,1,6,17,0
0.00665,1,6,17,20
0.0,1,6,17,40
0.00055,1,6,18,0
0.0,1,6,18,20
0.0,1,6,18,40
0.0,1,6,19,0
0.0002,1,6,19,20
0.0016,1,6,19,40
0.01225,1,6,20,0
0.0164,1,6,20,20
0.0,1,6,20,40
0.00145,1,6,21,0
0.0,1,6,21,20
0.0,1,6,21,40
0.0,1,6,22,0
0.0,1,6,22,20
0.00255,1,6,22,40
0.01215,1,6,23,0
0.0,1,6,23,20
0.0,1,6,23,40
0.00605,1,6,0,0
0.00135,1,6,0,20
0.0009,1,6,0,40
0.0,1,6,1,0
0.0,1,6,1,20
0.0,1,6,1,40
0.0,1,6,2,0
0.0,1,7,2,20
0.0,1,7,2,40
0.0,1,7,3,0
0.0,1,7,3,20
0.0,1,7,3,40
0.0,1,7,4,0
0.0036,1,7,4,20
0.0,1,7,4,40
0.0,1,7,5,0
0.0042,1,7,5,20
0.0,1,7,5,40
0.0,1,7,6,0
0.0,1,7,6,20
0.0,1,7,6,40
0.0,1,7,7,0
0.0,1,7,7,20
0.0,1,7,7,40
0.0,1,7,8,0
0.0,1,7,8,20
0.0027,1,7,8,40
0.0,1,7,9,0
0.0,1,7,9,20
0.0,1,7,9,40
0.0024,1,7,10,0
0.0005,1,7,10,20
0.0032,1,7,10,40
0.0,1,7,11,0
0.00085,1,7,11,20
0.0,1,7,11,40
0.0,1,7,12,0
0.00035,1,7,12,20
0.00105,1,7,12,40
0.0011,1,7,13,0
0.01115,1,7,13,20
0.026000000000000002,1,7,13,40
0.02145,1,7,14,0
0.0063,1,7,14,20
0.00065,1,7,14,40
0.0,1,7,15,0
0.00125,1,7,15,20
0.01615,1,7,15,40
0.00075,1,7,16,0
0.0008,1,7,16,20
0.0,1,7,16,40
0.0,1,7,17,0
0.0,1,7,17,20
0.0049,1,7,17,40
0.0011,1,7,18,0
0.003,1,7,18,20
0.00105,1,7,18,40
0.0,1,7,19,0
0.0011,1,7,19,20
0.0128,1,7,19,40
0.00395,1,7,20,0
0.0014,1,7,20,20
0.0,1,7,20,40
0.00185,1,7,21,0
0.0048,1,7,21,20
0.0,1,7,21,40
0.0105,1,7,22,0
0.0007,1,7,22,20
0.0013,1,7,22,40
0.0004,1,7,23,0
0.00165,1,7,23,20
0.0,1,7,23,40
0.0009,1,7,0,0
0.00165,1,7,0,20
0.0107,1,7,0,40
0.0112,1,7,1,0
0.01,1,7,1,20
0.0052,1,7,1,40
0.0,1,7,2,0
0.0,1,8,2,20
0.0037,1,8,2,40
0.0,1,8,3,0
0.0,1,8,3,20
0.0,1,8,3,40
0.0,1,8,4,0
0.00015,1,8,4,20
0.0,1,8,4,40
0.0,1,8,5,0
0.0,1,8,5,20
0.0,1,8,5,40
0.0,1,8,6,0
0.0035,1,8,6,20
0.005,1,8,6,40
0.005,1,8,7,0
0.01355,1,8,7,20
0.0,1,8,7,40
0.0009,1,8,8,0
0.0077,1,8,8,20
0.00585,1,8,8,40
0.0,1,8,9,0
0.0,1,8,9,20
0.0002,1,8,9,40
0.0,1,8,10,0
0.00065,1,8,10,20
0.00385,1,8,10,40
0.0005,1,8,11,0
0.0015,1,8,11,20
0.00605,1,8,11,40
0.0104,1,8,12,0
0.0,1,8,12,20
0.0,1,8,12,40
0.00065,1,8,13,0
0.0,1,8,13,20
0.0,1,8,13,40
0.0007,1,8,14,0
0.00265,1,8,14,20
0.0,1,8,14,40
0.0,1,8,15,0
0.00035,1,8,15,20
0.0,1,8,15,40
0.0112,1,8,16,0
0.0076,1,8,16,20
0.0028,1,8,16,40
0.00465,1,8,17,0
0.00045,1,8,17,20
0.0032,1,8,17,40
0.00045,1,8,18,0
0.0007,1,8,18,20
0.0013,1,8,18,40
0.0117,1,8,19,0
0.00165,1,8,19,20
0.00165,1,8,19,40
0.00295,1,8,20,0
0.00135,1,8,20,20
0.0069,1,8,20,40
0.00695,1,8,21,0
0.0032,1,8,21,20
0.0,1,8,21,40
0.0,1,8,22,0
0.0,1,8,22,20
0.00045,1,8,22,40
0.001,1,8,23,0
0.0003,1,8,23,20
0.0078,1,8,23,40
0.00075,1,8,0,0
0.0016,1,8,0,20
0.0009,1,8,0,40
0.0006,1,8,1,0
0.0,1,8,1,20
0.0,1,8,1,40
0.0,1,8,2,0
0.0,1,9,2,20
0.0,1,9,2,40
0.0,1,9,3,0
0.0,1,9,3,20
0.0,1,9,3,40
0.0,1,9,4,0
0.0,1,9,4,20
0.0,1,9,4,40
0.0,1,9,5,0
0.0,1,9,5,20
0.0,1,9,5,40
0.00045,1,9,6,0
0.0,1,9,6,20
0.0,1,9,6,40
0.0,1,9,7,0
0.0,1,9,7,20
0.0,1,9,7,40
0.0,1,9,8,0
0.0015,1,9,8,20
0.0,1,9,8,40
0.00345,1,9,9,0
0.0005,1,9,9,20
0.00075,1,9,9,40
0.0,1,9,10,0
0.0,1,9,10,20
0.0095,1,9,10,40
0.0006,1,9,11,0
0.0,1,9,11,20
0.0,1,9,11,40
0.0,1,9,12,0
0.001,1,9,12,20
0.0013,1,9,12,40
0.0186,1,9,13,0
0.025,1,9,13,20
0.0219,1,9,13,40
0.0008,1,9,14,0
0.0007,1,9,14,20
0.0029,1,9,14,40
0.0,1,9,15,0
0.03285,1,9,15,20
0.0253,1,9,15,40
0.0049,1,9,16,0
0.00245,1,9,16,20
0.00245,1,9,16,40
0.0,1,9,17,0
0.00035,1,9,17,20
0.0,1,9,17,40
0.0028,1,9,18,0
0.0067,1,9,18,20
0.0148,1,9,18,40
0.00565,1,9,19,0
0.0,1,9,19,20
0.0,1,9,19,40
0.0,1,9,20,0
0.0007,1,9,20,20
0.0,1,9,20,40
0.0,1,9,21,0
0.00425,1,9,21,20
0.00095,1,9,21,40
0.0,1,9,22,0
0.00055,1,9,22,20
0.0,1,9,22,40
0.0,1,9,23,0
0.0,1,9,23,20
0.0005,1,9,23,40
0.0,1,9,0,0
0.0,1,9,0,20
0.0,1,9,0,40
0.0,1,9,1,0
0.0,1,9,1,20
0.0024,1,9,1,40
0.0,1,9,2,0
0.0,1,10,2,20
0.0,1,10,2,40
0.0,1,10,3,0
0.0,1,10,3,20
0.0018,1,10,3,40
0.018000000000000002,1,10,4,0
0.0034,1,10,4,20
0.00085,1,10,4,40
0.0,1,10,5,0
0.0,1,10,5,20
0.0,1,10,5,40
0.0,1,10,6,0
0.0,1,10,6,20
0.0008,1,10,6,40
0.0,1,10,7,0
0.0,1,10,7,20
0.00165,1,10,7,40
0.0,1,10,8,0
0.0,1,10,8,20
0.0014,1,10,8,40
0.0013,1,10,9,0
0.0105,1,10,9,20
0.00705,1,10,9,40
0.0,1,10,10,0
0.0,1,10,10,20
0.0,1,10,10,40
0.0,1,10,11,0
0.0,1,10,11,20
0.00055,1,10,11,40
0.0021,1,10,12,0
0.0074,1,10,12,20
0.0,1,10,12,40
0.0043,1,10,13,0
0.0007,1,10,13,20
0.0,1,10,13,40
0.0,1,10,14,0
0.0,1,10,14,20
0.0009,1,10,14,40
0.0007,1,10,15,0
0.00345,1,10,15,20
0.0008,1,10,15,40
0.0,1,10,16,0
0.0041,1,10,16,20
0.0022,1,10,16,40
0.0,1,10,17,0
0.00015,1,10,17,20
0.03115,1,10,17,40
0.0057,1,10,18,0
0.0,1,10,18,20
0.0012,1,10,18,40
0.0,1,10,19,0
0.0,1,10,19,20
0.0,1,10,19,40
0.001,1,10,20,0
0.00095,1,10,20,20
0.00225,1,10,20,40
0.001,1,10,21,0
0.00115,1,10,21,20
0.00625,1,10,21,40
0.0,1,10,22,0
0.0,1,10,22,20
0.0,1,10,22,40
0.0,1,10,23,0
0.0016,1,10,23,20
0.0,1,10,23,40
0.0,1,10,0,0
0.00895,1,10,0,20
0.0,1,10,0,40
0.00035,1,10,1,0
0.00065,1,10,1,20
0.0,1,10,1,40
0.00385,1,10,2,0
0.0,1,11,2,20
0.0,1,11,2,40
0.0007,1,11,3,0
0.0,1,11,3,20
0.0,1,11,3,40
0.0,1,11,4,0
0.0009,1,11,4,20
0.0,1,11,4,40
0.0007,1,11,5,0
0.0,1,11,5,20
0.0,1,11,5,40
0.0,1,11,6,0
0.0,1,11,6,20
0.0,1,11,6,40
0.0,1,11,7,0
0.0,1,11,7,20
0.0,1,11,7,40
0.0034,1,11,8,0
0.0,1,11,8,20
0.0,1,11,8,40
0.0,1,11,9,0
0.00375,1,11,9,20
0.0044,1,11,9,40
0.0007,1,11,10,0
0.0,1,11,10,20
0.0,1,11,10,40
0.0021,1,11,11,0
0.00075,1,11,11,20
0.0027,1,11,11,40
0.0027,1,11,12,0
0.0,1,11,12,20
0.0,1,11,12,40
0.0,1,11,13,0
0.0,1,11,13,20
0.0,1,11,13,40
0.0007,1,11,14,0
0.0,1,11,14,20
0.0,1,11,14,40
0.0,1,11,15,0
0.0,1,11,15,20
0.00195,1,11,15,40
0.0016,1,11,16,0
0.0144,1,11,16,20
0.01185,1,11,16,40
0.0,1,11,17,0
0.0,1,11,17,20
0.0012,1,11,17,40
0.0,1,11,18,0
0.00035,1,11,18,20
0.0,1,11,18,40
0.0,1,11,19,0
0.0004,1,11,19,20
0.0049,1,11,19,40
0.0,1,11,20,0
0.0,1,11,20,20
0.0,1,11,20,40
0.0029,1,11,21,0
0.00575,1,11,21,20
0.0061,1,11,21,40
0.00155,1,11,22,0
0.0,1,11,22,20
0.0036,1,11,22,40
0.0,1,11,23,0
0.0,1,11,23,20
0.0,1,11,23,40
0.0017,1,11,0,0
0.0,1,11,0,20
0.0008,1,11,0,40
0.0,1,11,1,0
0.0,1,11,1,20
0.0016,1,11,1,40
0.0,1,11,2,0
0.0203,1,12,2,20
0.0,1,12,2,40
0.0,1,12,3,0
0.0,1,12,3,20
0.0,1,12,3,40
0.0,1,12,4,0
0.0,1,12,4,20
0.00115,1,12,4,40
0.0,1,12,5,0
0.0,1,12,5,20
0.0,1,12,5,40
0.0008,1,12,6,0
0.0095,1,12,6,20
0.0021,1,12,6,40
0.00095,1,12,7,0
0.00075,1,12,7,20
0.003,1,12,7,40
0.0,1,12,8,0
0.0039,1,12,8,20
0.0011,1,12,8,40
0.0002,1,12,9,0
0.0065,1,12,9,20
0.00845,1,12,9,40
0.0084,1,12,10,0
0.0,1,12,10,20
0.0,1,12,10,40
0.0,1,12,11,0
0.0,1,12,11,20
0.0,1,12,11,40
0.0,1,12,12,0
0.0002,1,12,12,20
0.00505,1,12,12,40
0.00035,1,12,13,0
0.0,1,12,13,20
0.0,1,12,13,40
0.0,1,12,14,0
0.0,1,12,14,20
0.0011,1,12,14,40
0.00125,1,12,15,0
0.0022,1,12,15,20
0.0,1,12,15,40
0.0058,1,12,16,0
0.00265,1,12,16,20
0.0091,1,12,16,40
0.00705,1,12,17,0
0.00285,1,12,17,20
0.0,1,12,17,40
0.0006,1,12,18,0
0.0,1,12,18,20
0.00035,1,12,18,40
0.0029,1,12,19,0
0.00405,1,12,19,20
0.0,1,12,19,40
0.0,1,12,20,0
0.0004,1,12,20,20
0.0014,1,12,20,40
0.0006,1,12,21,0
0.0014,1,12,21,20
0.00185,1,12,21,40
0.0043,1,12,22,0
0.00405,1,12,22,20
0.0009,1,12,22,40
0.0008,1,12,23,0
0.0,1,12,23,20
0.00245,1,12,23,40
0.0,1,12,0,0
0.0031,1,12,0,20
0.00325,1,12,0,40
0.0,1,12,1,0
0.0,1,12,1,20
0.0,1,12,1,40
0.0039,1,12,2,0
0.0037,1,13,2,20
0.0,1,13,2,40
0.0,1,13,3,0
0.0,1,13,3,20
0.0,1,13,3,40
0.0,1,13,4,0
0.0,1,13,4,20
0.0,1,13,4,40
0.0,1,13,5,0
0.0,1,13,5,20
0.0,1,13,5,40
0.0032,1,13,6,0
0.0,1,13,6,20
0.0083,1,13,6,40
0.0,1,13,7,0
0.0,1,13,7,20
0.0128,1,13,7,40
0.00035,1,13,8,0
0.00135,1,13,8,20
0.0,1,13,8,40
0.00315,1,13,9,0
0.0021,1,13,9,20
0.00045,1,13,9,40
0.0,1,13,10,0
0.0004,1,13,10,20
0.0,1,13,10,40
0.0,1,13,11,0
0.0068,1,13,11,20
0.0,1,13,11,40
0.00075,1,13,12,0
0.0,1,13,12,20
0.0,1,13,12,40
0.00215,1,13,13,0
0.0047,1,13,13,20
0.0015,1,13,13,40
0.0,1,13,14,0
0.0008,1,13,14,20
0.0,1,13,14,40
0.0043,1,13,15,0
0.0162,1,13,15,20
0.01,1,13,15,40
0.00255,1,13,16,0
0.0056,1,13,16,20
0.0,1,13,16,40
0.0,1,13,17,0
0.0,1,13,17,20
0.0,1,13,17,40
0.0036,1,13,18,0
0.0,1,13,18,20
0.0,1,13,18,40
0.0344,1,13,19,0
0.0016,1,13,19,20
0.0038,1,13,19,40
0.00085,1,13,20,0
0.0,1,13,20,20
0.0,1,13,20,40
0.0,1,13,21,0
0.0,1,13,21,20
0.0,1,13,21,40
0.0037,1,13,22,0
0.0,1,13,22,20
0.0,1,13,22,40
0.0037,1,13,23,0
0.0038,1,13,23,20
0.0,1,13,23,40
0.0016,1,13,0,0
0.00935,1,13,0,20
0.00325,1,13,0,40
0.0013,1,13,1,0
0.0,1,13,1,20
0.0,1,13,1,40
0.0046,1,13,2,0
0.0,1,14,2,20
0.0,1,14,2,40
0.0,1,14,3,0
0.0,1,14,3,20
0.0011,1,14,3,40
0.0,1,14,4,0
0.0007,1,14,4,20
0.0,1,14,4,40
0.0,1,14,5,0
0.0,1,14,5,20
0.0025,1,14,5,40
0.0,1,14,6,0
0.0,1,14,6,20
0.0,1,14,6,40
0.00125,1,14,7,0
0.0,1,14,7,20
0.00195,1,14,7,40
0.0,1,14,8,0
0.00125,1,14,8,20
0.0,1,14,8,40
0.0,1,14,9,0
0.0,1,14,9,20
0.0017,1,14,9,40
0.0,1,14,10,0
0.0033,1,14,10,20
0.0,1,14,10,40
0.0009,1,14,11,0
0.00255,1,14,11,20
0.0015,1,14,11,40
0.0,1,14,12,0
0.0,1,14,12,20
0.0161,1,14,12,40
0.0211,1,14,13,0
0.0174,1,14,13,20
0.013999999999999999,1,14,13,40
0.0404,1,14,14,0
0.0352,1,14,14,20
0.0029,1,14,14,40
0.0026,1,14,15,0
0.00375,1,14,15,20
0.00295,1,14,15,40
0.0007,1,14,16,0
0.0014,1,14,16,20
0.0,1,14,16,40
0.0007,1,14,17,0
0.0,1,14,17,20
0.0042,1,14,17,40
0.013999999999999999,1,14,18,0
0.013999999999999999,1,14,18,20
0.013999999999999999,1,14,18,40
0.013999999999999999,1,14,19,0
0.0021,1,14,19,20
0.0,1,14,19,40
0.00135,1,14,20,0
0.00075,1,14,20,20
0.0019,1,14,20,40
0.0,1,14,21,0
0.0014,1,14,21,20
0.0,1,14,21,40
0.00055,1,14,22,0
0.0,1,14,22,20
0.0013,1,14,22,40
0.0007,1,14,23,0
0.00135,1,14,23,20
0.0015,1,14,23,40
0.00655,1,14,0,0
0.0,1,14,0,20
0.0,1,14,0,40
0.0,1,14,1,0
0.0,1,14,1,20
0.00595,1,14,1,40
0.0,1,14,2,0
0.0,1,15,2,20
0.0036,1,15,2,40
0.0,1,15,3,0
0.0,1,15,3,20
0.0,1,15,3,40
0.0,1,15,4,0
0.00595,1,15,4,20
0.0006,1,15,4,40
0.0,1,15,5,0
0.0,1,15,5,20
0.0,1,15,5,40
0.0,1,15,6,0
0.0,1,15,6,20
0.0,1,15,6,40
0.01105,1,15,7,0
0.0,1,15,7,20
0.0,1,15,7,40
0.00265,1,15,8,0
0.0,1,15,8,20
0.0,1,15,8,40
0.0,1,15,9,0
0.0,1,15,9,20
0.0012,1,15,9,40
0.0,1,15,10,0
0.0,1,15,10,20
0.0014,1,15,10,40
0.0007,1,15,11,0
0.00245,1,15,11,20
0.0026,1,15,11,40
0.0029,1,15,12,0
0.0047,1,15,12,20
0.00425,1,15,12,40
0.0014,1,15,13,0
0.0,1,15,13,20
0.0007,1,15,13,40
0.0,1,15,14,0
0.0,1,15,14,20
0.0007,1,15,14,40
0.0052,1,15,15,0
0.0,1,15,15,20
0.0,1,15,15,40
0.0003,1,15,16,0
0.00345,1,15,16,20
0.0014,1,15,16,40
0.0016,1,15,17,0
0.00735,1,15,17,20
0.01005,1,15,17,40
0.0033,1,15,18,0
0.00025,1,15,18,20
0.00435,1,15,18,40
0.0,1,15,19,0
0.0,1,15,19,20
0.0,1,15,19,40
0.0105,1,15,20,0
0.01285,1,15,20,20
0.0,1,15,20,40
0.0,1,15,21,0
0.00415,1,15,21,20
0.0,1,15,21,40
0.0,1,15,22,0
0.001,1,15,22,20
0.00755,1,15,22,40
0.00095,1,15,23,0
0.00015,1,15,23,20
0.0067,1,15,23,40
0.0,1,15,0,0
0.0,1,15,0,20
0.0007,1,15,0,40
0.0021,1,15,1,0
0.0,1,15,1,20
0.0,1,15,1,40
0.00225,1,15,2,0
0.0,1,16,2,20
0.0002,1,16,2,40
0.003,1,16,3,0
0.0005,1,16,3,20
0.0005,1,16,3,40
0.0,1,16,4,0
0.0016,1,16,4,20
0.0,1,16,4,40
0.0,1,16,5,0
0.0012,1,16,5,20
0.0,1,16,5,40
0.0,1,16,6,0
0.0,1,16,6,20
0.0,1,16,6,40
0.0,1,16,7,0
0.0,1,16,7,20
0.00045,1,16,7,40
0.0,1,16,8,0
0.0,1,16,8,20
0.0,1,16,8,40
0.0,1,16,9,0
0.0064,1,16,9,20
0.0143,1,16,9,40
0.0,1,16,10,0
0.0006,1,16,10,20
0.0,1,16,10,40
0.0013,1,16,11,0
0.00215,1,16,11,20
0.0,1,16,11,40
0.0,1,16,12,0
0.0,1,16,12,20
0.0,1,16,12,40
0.0,1,16,13,0
