朝楼,矫埃,矫没伏
1岿4老,16:20,0.00525
1岿4老,16:40,0.00085
1岿4老,17:00,0
1岿4老,17:20,0.00505
1岿4老,17:40,0.0042
1岿4老,18:00,0.00165
1岿4老,18:20,0
1岿4老,18:40,0
1岿4老,19:00,0
1岿4老,19:20,0.0005
1岿4老,19:40,0
1岿4老,20:00,0
1岿4老,20:20,0
1岿4老,20:40,0
1岿4老,21:00,0.0013
1岿4老,21:20,0.0107
1岿4老,21:40,0.0004
1岿4老,22:00,0.0025
1岿4老,22:20,0.0327
1岿4老,22:40,0
1岿4老,23:00,0.00245
1岿4老,23:20,0
1岿4老,23:40,0
1岿4老,0:00,0
1岿4老,0:20,0
1岿4老,0:40,0
1岿4老,1:00,0.01995
1岿4老,1:20,0.00355
1岿4老,1:40,0
1岿4老,2:00,0.0014
1岿5老,2:20,0
1岿5老,2:40,0
1岿5老,3:00,0
1岿5老,3:20,0
1岿5老,3:40,0
1岿5老,4:00,0
1岿5老,4:20,0
1岿5老,4:40,0
1岿5老,5:00,0
1岿5老,5:20,0
1岿5老,5:40,0.0039
1岿5老,6:00,0.0013
1岿5老,6:20,0
1岿5老,6:40,0
1岿5老,7:00,0
1岿5老,7:20,0
1岿5老,7:40,0.00345
1岿5老,8:00,0.00585
1岿5老,8:20,0.0006
1岿5老,8:40,0.0027
1岿5老,9:00,0.0012
1岿5老,9:20,0
1岿5老,9:40,0.0033
1岿5老,10:00,0.02265
1岿5老,10:20,0.022
1岿5老,10:40,0.0225
1岿5老,11:00,0
1岿5老,11:20,0
1岿5老,11:40,0
1岿5老,12:00,0
1岿5老,12:20,0.0021
1岿5老,12:40,0
1岿5老,13:00,0.00095
1岿5老,13:20,0
1岿5老,13:40,0.0012
1岿5老,14:00,0.0013
1岿5老,14:20,0
1岿5老,14:40,0
1岿5老,15:00,0
1岿5老,15:20,0.00165
1岿5老,15:40,0.00205
1岿5老,16:00,0.0022
1岿5老,16:20,0
1岿5老,16:40,0
1岿5老,17:00,0
1岿5老,17:20,0.0004
1岿5老,17:40,0.00445
1岿5老,18:00,0
1岿5老,18:20,0.0015
1岿5老,18:40,0.00445
1岿5老,19:00,0.0018
1岿5老,19:20,0
1岿5老,19:40,0.0052
1岿5老,20:00,0
1岿5老,20:20,0
1岿5老,20:40,0
1岿5老,21:00,0
1岿5老,21:20,0
1岿5老,21:40,0
1岿5老,22:00,0
1岿5老,22:20,0
1岿5老,22:40,0
1岿5老,23:00,0
1岿5老,23:20,0.007
1岿5老,23:40,0
1岿5老,0:00,0
1岿5老,0:20,0.007
1岿5老,0:40,0.0015
1岿5老,1:00,0
1岿5老,1:20,0.01335
1岿5老,1:40,0.00215
1岿5老,2:00,0
1岿6老,2:20,0
1岿6老,2:40,0
1岿6老,3:00,0
1岿6老,3:20,0
1岿6老,3:40,0.0005
1岿6老,4:00,0
1岿6老,4:20,0
1岿6老,4:40,0
1岿6老,5:00,0
1岿6老,5:20,0
1岿6老,5:40,0
1岿6老,6:00,0
1岿6老,6:20,0.00025
1岿6老,6:40,0.0012
1岿6老,7:00,0.00925
1岿6老,7:20,0.0026
1岿6老,7:40,0
1岿6老,8:00,0.0022
1岿6老,8:20,0
1岿6老,8:40,0
1岿6老,9:00,0.0007
1岿6老,9:20,0.00225
1岿6老,9:40,0
1岿6老,10:00,0
1岿6老,10:20,0
1岿6老,10:40,0.00575
1岿6老,11:00,0.0258
1岿6老,11:20,0.0023
1岿6老,11:40,0
1岿6老,12:00,0.00955
1岿6老,12:20,0.0002
1岿6老,12:40,0
1岿6老,13:00,0
1岿6老,13:20,0
1岿6老,13:40,0.0067
1岿6老,14:00,0.0051
1岿6老,14:20,0.0007
1岿6老,14:40,0.00255
1岿6老,15:00,0.0065
1岿6老,15:20,0.01645
1岿6老,15:40,0.0121
1岿6老,16:00,0.00505
1岿6老,16:20,0.01
1岿6老,16:40,0.016
1岿6老,17:00,0
1岿6老,17:20,0.00665
1岿6老,17:40,0
1岿6老,18:00,0.00055
1岿6老,18:20,0
1岿6老,18:40,0
1岿6老,19:00,0
1岿6老,19:20,0.0002
1岿6老,19:40,0.0016
1岿6老,20:00,0.01225
1岿6老,20:20,0.0164
1岿6老,20:40,0
1岿6老,21:00,0.00145
1岿6老,21:20,0
1岿6老,21:40,0
1岿6老,22:00,0
1岿6老,22:20,0
1岿6老,22:40,0.00255
1岿6老,23:00,0.01215
1岿6老,23:20,0
1岿6老,23:40,0
1岿6老,0:00,0.00605
1岿6老,0:20,0.00135
1岿6老,0:40,0.0009
1岿6老,1:00,0
1岿6老,1:20,0
1岿6老,1:40,0
1岿6老,2:00,0
1岿7老,2:20,0
1岿7老,2:40,0
1岿7老,3:00,0
1岿7老,3:20,0
1岿7老,3:40,0
1岿7老,4:00,0
1岿7老,4:20,0.0036
1岿7老,4:40,0
1岿7老,5:00,0
1岿7老,5:20,0.0042
1岿7老,5:40,0
1岿7老,6:00,0
1岿7老,6:20,0
1岿7老,6:40,0
1岿7老,7:00,0
1岿7老,7:20,0
1岿7老,7:40,0
1岿7老,8:00,0
1岿7老,8:20,0
1岿7老,8:40,0.0027
1岿7老,9:00,0
1岿7老,9:20,0
1岿7老,9:40,0
1岿7老,10:00,0.0024
1岿7老,10:20,0.0005
1岿7老,10:40,0.0032
1岿7老,11:00,0
1岿7老,11:20,0.00085
1岿7老,11:40,0
1岿7老,12:00,0
1岿7老,12:20,0.00035
1岿7老,12:40,0.00105
1岿7老,13:00,0.0011
1岿7老,13:20,0.01115
1岿7老,13:40,0.026
1岿7老,14:00,0.02145
1岿7老,14:20,0.0063
1岿7老,14:40,0.00065
1岿7老,15:00,0
1岿7老,15:20,0.00125
1岿7老,15:40,0.01615
1岿7老,16:00,0.00075
1岿7老,16:20,0.0008
1岿7老,16:40,0
1岿7老,17:00,0
1岿7老,17:20,0
1岿7老,17:40,0.0049
1岿7老,18:00,0.0011
1岿7老,18:20,0.003
1岿7老,18:40,0.00105
1岿7老,19:00,0
1岿7老,19:20,0.0011
1岿7老,19:40,0.0128
1岿7老,20:00,0.00395
1岿7老,20:20,0.0014
1岿7老,20:40,0
1岿7老,21:00,0.00185
1岿7老,21:20,0.0048
1岿7老,21:40,0
1岿7老,22:00,0.0105
1岿7老,22:20,0.0007
1岿7老,22:40,0.0013
1岿7老,23:00,0.0004
1岿7老,23:20,0.00165
1岿7老,23:40,0
1岿7老,0:00,0.0009
1岿7老,0:20,0.00165
1岿7老,0:40,0.0107
1岿7老,1:00,0.0112
1岿7老,1:20,0.01
1岿7老,1:40,0.0052
1岿7老,2:00,0
1岿8老,2:20,0
1岿8老,2:40,0.0037
1岿8老,3:00,0
1岿8老,3:20,0
1岿8老,3:40,0
1岿8老,4:00,0
1岿8老,4:20,0.00015
1岿8老,4:40,0
1岿8老,5:00,0
1岿8老,5:20,0
1岿8老,5:40,0
1岿8老,6:00,0
1岿8老,6:20,0.0035
1岿8老,6:40,0.005
1岿8老,7:00,0.005
1岿8老,7:20,0.01355
1岿8老,7:40,0
1岿8老,8:00,0.0009
1岿8老,8:20,0.0077
1岿8老,8:40,0.00585
1岿8老,9:00,0
1岿8老,9:20,0
1岿8老,9:40,0.0002
1岿8老,10:00,0
1岿8老,10:20,0.00065
1岿8老,10:40,0.00385
1岿8老,11:00,0.0005
1岿8老,11:20,0.0015
1岿8老,11:40,0.00605
1岿8老,12:00,0.0104
1岿8老,12:20,0
1岿8老,12:40,0
1岿8老,13:00,0.00065
1岿8老,13:20,0
1岿8老,13:40,0
1岿8老,14:00,0.0007
1岿8老,14:20,0.00265
1岿8老,14:40,0
1岿8老,15:00,0
1岿8老,15:20,0.00035
1岿8老,15:40,0
1岿8老,16:00,0.0112
1岿8老,16:20,0.0076
1岿8老,16:40,0.0028
1岿8老,17:00,0.00465
1岿8老,17:20,0.00045
1岿8老,17:40,0.0032
1岿8老,18:00,0.00045
1岿8老,18:20,0.0007
1岿8老,18:40,0.0013
1岿8老,19:00,0.0117
1岿8老,19:20,0.00165
1岿8老,19:40,0.00165
1岿8老,20:00,0.00295
1岿8老,20:20,0.00135
1岿8老,20:40,0.0069
1岿8老,21:00,0.00695
1岿8老,21:20,0.0032
1岿8老,21:40,0
1岿8老,22:00,0
1岿8老,22:20,0
1岿8老,22:40,0.00045
1岿8老,23:00,0.001
1岿8老,23:20,0.0003
1岿8老,23:40,0.0078
1岿8老,0:00,0.00075
1岿8老,0:20,0.0016
1岿8老,0:40,0.0009
1岿8老,1:00,0.0006
1岿8老,1:20,0
1岿8老,1:40,0
1岿8老,2:00,0
1岿9老,2:20,0
1岿9老,2:40,0
1岿9老,3:00,0
1岿9老,3:20,0
1岿9老,3:40,0
1岿9老,4:00,0
1岿9老,4:20,0
1岿9老,4:40,0
1岿9老,5:00,0
1岿9老,5:20,0
1岿9老,5:40,0
1岿9老,6:00,0.00045
1岿9老,6:20,0
1岿9老,6:40,0
1岿9老,7:00,0
1岿9老,7:20,0
1岿9老,7:40,0
1岿9老,8:00,0
1岿9老,8:20,0.0015
1岿9老,8:40,0
1岿9老,9:00,0.00345
1岿9老,9:20,0.0005
1岿9老,9:40,0.00075
1岿9老,10:00,0
1岿9老,10:20,0
1岿9老,10:40,0.0095
1岿9老,11:00,0.0006
1岿9老,11:20,0
1岿9老,11:40,0
1岿9老,12:00,0
1岿9老,12:20,0.001
1岿9老,12:40,0.0013
1岿9老,13:00,0.0186
1岿9老,13:20,0.025
1岿9老,13:40,0.0219
1岿9老,14:00,0.0008
1岿9老,14:20,0.0007
1岿9老,14:40,0.0029
1岿9老,15:00,0
1岿9老,15:20,0.03285
1岿9老,15:40,0.0253
1岿9老,16:00,0.0049
1岿9老,16:20,0.00245
1岿9老,16:40,0.00245
1岿9老,17:00,0
1岿9老,17:20,0.00035
1岿9老,17:40,0
1岿9老,18:00,0.0028
1岿9老,18:20,0.0067
1岿9老,18:40,0.0148
1岿9老,19:00,0.00565
1岿9老,19:20,0
1岿9老,19:40,0
1岿9老,20:00,0
1岿9老,20:20,0.0007
1岿9老,20:40,0
1岿9老,21:00,0
1岿9老,21:20,0.00425
1岿9老,21:40,0.00095
1岿9老,22:00,0
1岿9老,22:20,0.00055
1岿9老,22:40,0
1岿9老,23:00,0
1岿9老,23:20,0
1岿9老,23:40,0.0005
1岿9老,0:00,0
1岿9老,0:20,0
1岿9老,0:40,0
1岿9老,1:00,0
1岿9老,1:20,0
1岿9老,1:40,0.0024
1岿9老,2:00,0
1岿10老,2:20,0
1岿10老,2:40,0
1岿10老,3:00,0
1岿10老,3:20,0
1岿10老,3:40,0.0018
1岿10老,4:00,0.018
1岿10老,4:20,0.0034
1岿10老,4:40,0.00085
1岿10老,5:00,0
1岿10老,5:20,0
1岿10老,5:40,0
1岿10老,6:00,0
1岿10老,6:20,0
1岿10老,6:40,0.0008
1岿10老,7:00,0
1岿10老,7:20,0
1岿10老,7:40,0.00165
1岿10老,8:00,0
1岿10老,8:20,0
1岿10老,8:40,0.0014
1岿10老,9:00,0.0013
1岿10老,9:20,0.0105
1岿10老,9:40,0.00705
1岿10老,10:00,0
1岿10老,10:20,0
1岿10老,10:40,0
1岿10老,11:00,0
1岿10老,11:20,0
1岿10老,11:40,0.00055
1岿10老,12:00,0.0021
1岿10老,12:20,0.0074
1岿10老,12:40,0
1岿10老,13:00,0.0043
1岿10老,13:20,0.0007
1岿10老,13:40,0
1岿10老,14:00,0
1岿10老,14:20,0
1岿10老,14:40,0.0009
1岿10老,15:00,0.0007
1岿10老,15:20,0.00345
1岿10老,15:40,0.0008
1岿10老,16:00,0
1岿10老,16:20,0.0041
1岿10老,16:40,0.0022
1岿10老,17:00,0
1岿10老,17:20,0.00015
1岿10老,17:40,0.03115
1岿10老,18:00,0.0057
1岿10老,18:20,0
1岿10老,18:40,0.0012
1岿10老,19:00,0
1岿10老,19:20,0
1岿10老,19:40,0
1岿10老,20:00,0.001
1岿10老,20:20,0.00095
1岿10老,20:40,0.00225
1岿10老,21:00,0.001
1岿10老,21:20,0.00115
1岿10老,21:40,0.00625
1岿10老,22:00,0
1岿10老,22:20,0
1岿10老,22:40,0
1岿10老,23:00,0
1岿10老,23:20,0.0016
1岿10老,23:40,0
1岿10老,0:00,0
1岿10老,0:20,0.00895
1岿10老,0:40,0
1岿10老,1:00,0.00035
1岿10老,1:20,0.00065
1岿10老,1:40,0
1岿10老,2:00,0.00385
1岿11老,2:20,0
1岿11老,2:40,0
1岿11老,3:00,0.0007
1岿11老,3:20,0
1岿11老,3:40,0
1岿11老,4:00,0
1岿11老,4:20,0.0009
1岿11老,4:40,0
1岿11老,5:00,0.0007
1岿11老,5:20,0
1岿11老,5:40,0
1岿11老,6:00,0
1岿11老,6:20,0
1岿11老,6:40,0
1岿11老,7:00,0
1岿11老,7:20,0
1岿11老,7:40,0
1岿11老,8:00,0.0034
1岿11老,8:20,0
1岿11老,8:40,0
1岿11老,9:00,0
1岿11老,9:20,0.00375
1岿11老,9:40,0.0044
1岿11老,10:00,0.0007
1岿11老,10:20,0
1岿11老,10:40,0
1岿11老,11:00,0.0021
1岿11老,11:20,0.00075
1岿11老,11:40,0.0027
1岿11老,12:00,0.0027
1岿11老,12:20,0
1岿11老,12:40,0
1岿11老,13:00,0
1岿11老,13:20,0
1岿11老,13:40,0
1岿11老,14:00,0.0007
1岿11老,14:20,0
1岿11老,14:40,0
1岿11老,15:00,0
1岿11老,15:20,0
1岿11老,15:40,0.00195
1岿11老,16:00,0.0016
1岿11老,16:20,0.0144
1岿11老,16:40,0.01185
1岿11老,17:00,0
1岿11老,17:20,0
1岿11老,17:40,0.0012
1岿11老,18:00,0
1岿11老,18:20,0.00035
1岿11老,18:40,0
1岿11老,19:00,0
1岿11老,19:20,0.0004
1岿11老,19:40,0.0049
1岿11老,20:00,0
1岿11老,20:20,0
1岿11老,20:40,0
1岿11老,21:00,0.0029
1岿11老,21:20,0.00575
1岿11老,21:40,0.0061
1岿11老,22:00,0.00155
1岿11老,22:20,0
1岿11老,22:40,0.0036
1岿11老,23:00,0
1岿11老,23:20,0
1岿11老,23:40,0
1岿11老,0:00,0.0017
1岿11老,0:20,0
1岿11老,0:40,0.0008
1岿11老,1:00,0
1岿11老,1:20,0
1岿11老,1:40,0.0016
1岿11老,2:00,0
1岿12老,2:20,0.0203
1岿12老,2:40,0
1岿12老,3:00,0
1岿12老,3:20,0
1岿12老,3:40,0
1岿12老,4:00,0
1岿12老,4:20,0
1岿12老,4:40,0.00115
1岿12老,5:00,0
1岿12老,5:20,0
1岿12老,5:40,0
1岿12老,6:00,0.0008
1岿12老,6:20,0.0095
1岿12老,6:40,0.0021
1岿12老,7:00,0.00095
1岿12老,7:20,0.00075
1岿12老,7:40,0.003
1岿12老,8:00,0
1岿12老,8:20,0.0039
1岿12老,8:40,0.0011
1岿12老,9:00,0.0002
1岿12老,9:20,0.0065
1岿12老,9:40,0.00845
1岿12老,10:00,0.0084
1岿12老,10:20,0
1岿12老,10:40,0
1岿12老,11:00,0
1岿12老,11:20,0
1岿12老,11:40,0
1岿12老,12:00,0
1岿12老,12:20,0.0002
1岿12老,12:40,0.00505
1岿12老,13:00,0.00035
1岿12老,13:20,0
1岿12老,13:40,0
1岿12老,14:00,0
1岿12老,14:20,0
1岿12老,14:40,0.0011
1岿12老,15:00,0.00125
1岿12老,15:20,0.0022
1岿12老,15:40,0
1岿12老,16:00,0.0058
1岿12老,16:20,0.00265
1岿12老,16:40,0.0091
1岿12老,17:00,0.00705
1岿12老,17:20,0.00285
1岿12老,17:40,0
1岿12老,18:00,0.0006
1岿12老,18:20,0
1岿12老,18:40,0.00035
1岿12老,19:00,0.0029
1岿12老,19:20,0.00405
1岿12老,19:40,0
1岿12老,20:00,0
1岿12老,20:20,0.0004
1岿12老,20:40,0.0014
1岿12老,21:00,0.0006
1岿12老,21:20,0.0014
1岿12老,21:40,0.00185
1岿12老,22:00,0.0043
1岿12老,22:20,0.00405
1岿12老,22:40,0.0009
1岿12老,23:00,0.0008
1岿12老,23:20,0
1岿12老,23:40,0.00245
1岿12老,0:00,0
1岿12老,0:20,0.0031
1岿12老,0:40,0.00325
1岿12老,1:00,0
1岿12老,1:20,0
1岿12老,1:40,0
1岿12老,2:00,0.0039
1岿13老,2:20,0.0037
1岿13老,2:40,0
1岿13老,3:00,0
1岿13老,3:20,0
1岿13老,3:40,0
1岿13老,4:00,0
1岿13老,4:20,0
1岿13老,4:40,0
1岿13老,5:00,0
1岿13老,5:20,0
1岿13老,5:40,0
1岿13老,6:00,0.0032
1岿13老,6:20,0
1岿13老,6:40,0.0083
1岿13老,7:00,0
1岿13老,7:20,0
1岿13老,7:40,0.0128
1岿13老,8:00,0.00035
1岿13老,8:20,0.00135
1岿13老,8:40,0
1岿13老,9:00,0.00315
1岿13老,9:20,0.0021
1岿13老,9:40,0.00045
1岿13老,10:00,0
1岿13老,10:20,0.0004
1岿13老,10:40,0
1岿13老,11:00,0
1岿13老,11:20,0.0068
1岿13老,11:40,0
1岿13老,12:00,0.00075
1岿13老,12:20,0
1岿13老,12:40,0
1岿13老,13:00,0.00215
1岿13老,13:20,0.0047
1岿13老,13:40,0.0015
1岿13老,14:00,0
1岿13老,14:20,0.0008
1岿13老,14:40,0
1岿13老,15:00,0.0043
1岿13老,15:20,0.0162
1岿13老,15:40,0.01
1岿13老,16:00,0.00255
1岿13老,16:20,0.0056
1岿13老,16:40,0
1岿13老,17:00,0
1岿13老,17:20,0
1岿13老,17:40,0
1岿13老,18:00,0.0036
1岿13老,18:20,0
1岿13老,18:40,0
1岿13老,19:00,0.0344
1岿13老,19:20,0.0016
1岿13老,19:40,0.0038
1岿13老,20:00,0.00085
1岿13老,20:20,0
1岿13老,20:40,0
1岿13老,21:00,0
1岿13老,21:20,0
1岿13老,21:40,0
1岿13老,22:00,0.0037
1岿13老,22:20,0
1岿13老,22:40,0
1岿13老,23:00,0.0037
1岿13老,23:20,0.0038
1岿13老,23:40,0
1岿13老,0:00,0.0016
1岿13老,0:20,0.00935
1岿13老,0:40,0.00325
1岿13老,1:00,0.0013
1岿13老,1:20,0
1岿13老,1:40,0
1岿13老,2:00,0.0046
1岿14老,2:20,0
1岿14老,2:40,0
1岿14老,3:00,0
1岿14老,3:20,0
1岿14老,3:40,0.0011
1岿14老,4:00,0
1岿14老,4:20,0.0007
1岿14老,4:40,0
1岿14老,5:00,0
1岿14老,5:20,0
1岿14老,5:40,0.0025
1岿14老,6:00,0
1岿14老,6:20,0
1岿14老,6:40,0
1岿14老,7:00,0.00125
1岿14老,7:20,0
1岿14老,7:40,0.00195
1岿14老,8:00,0
1岿14老,8:20,0.00125
1岿14老,8:40,0
1岿14老,9:00,0
1岿14老,9:20,0
1岿14老,9:40,0.0017
1岿14老,10:00,0
1岿14老,10:20,0.0033
1岿14老,10:40,0
1岿14老,11:00,0.0009
1岿14老,11:20,0.00255
1岿14老,11:40,0.0015
1岿14老,12:00,0
1岿14老,12:20,0
1岿14老,12:40,0.0161
1岿14老,13:00,0.0211
1岿14老,13:20,0.0174
1岿14老,13:40,0.014
1岿14老,14:00,0.0404
1岿14老,14:20,0.0352
1岿14老,14:40,0.0029
1岿14老,15:00,0.0026
1岿14老,15:20,0.00375
1岿14老,15:40,0.00295
1岿14老,16:00,0.0007
1岿14老,16:20,0.0014
1岿14老,16:40,0
1岿14老,17:00,0.0007
1岿14老,17:20,0
1岿14老,17:40,0.0042
1岿14老,18:00,0.014
1岿14老,18:20,0.014
1岿14老,18:40,0.014
1岿14老,19:00,0.014
1岿14老,19:20,0.0021
1岿14老,19:40,0
1岿14老,20:00,0.00135
1岿14老,20:20,0.00075
1岿14老,20:40,0.0019
1岿14老,21:00,0
1岿14老,21:20,0.0014
1岿14老,21:40,0
1岿14老,22:00,0.00055
1岿14老,22:20,0
1岿14老,22:40,0.0013
1岿14老,23:00,0.0007
1岿14老,23:20,0.00135
1岿14老,23:40,0.0015
1岿14老,0:00,0.00655
1岿14老,0:20,0
1岿14老,0:40,0
1岿14老,1:00,0
1岿14老,1:20,0
1岿14老,1:40,0.00595
1岿14老,2:00,0
1岿15老,2:20,0
1岿15老,2:40,0.0036
1岿15老,3:00,0
1岿15老,3:20,0
1岿15老,3:40,0
1岿15老,4:00,0
1岿15老,4:20,0.00595
1岿15老,4:40,0.0006
1岿15老,5:00,0
1岿15老,5:20,0
1岿15老,5:40,0
1岿15老,6:00,0
1岿15老,6:20,0
1岿15老,6:40,0
1岿15老,7:00,0.01105
1岿15老,7:20,0
1岿15老,7:40,0
1岿15老,8:00,0.00265
1岿15老,8:20,0
1岿15老,8:40,0
1岿15老,9:00,0
1岿15老,9:20,0
1岿15老,9:40,0.0012
